Project,url,size_in_kb,stargazers_count,forks_count,watchers_count,open_issues_count,age_in_days,topics,description,domain,category,Radon MI (Numeric),Radon Cyclomatic Complexity,Lines of Code,Number of Functions,Number of Operators
awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,2892,65709,14610,65709,8,3747,,"A curated list of awesome Machine Learning frameworks, libraries and software.",General,Large,93.14,0.0,30,0,33
screenshot-to-code,https://github.com/abi/screenshot-to-code,2867,56643,6991,56643,74,338,,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),General,Large,83.42,0.0,4517,30,7252
llama,https://github.com/meta-llama/llama,1146,56056,9524,56056,382,612,,Inference code for Llama models,General,Medium,82.25,1.0,1179,27,487
private-gpt,https://github.com/zylon-ai/private-gpt,2409,53930,7249,53930,239,535,,"Interact with your documents using the power of GPT, 100% privately, no data leaks",Data Science,Large,80.88,0.0,6405,249,3205
hackingtool,https://github.com/Z4nzu/hackingtool,1373,50208,5399,50208,58,1651,"allinonehackingtool, web-attack, password-attack, hacking, wireless-attack, besthackingtool, ctf-tools, ddos-attack-tool, hacker, xss-attacks, xss-detection, linux, steganography",ALL IN ONE Hacking Tool For Hackers,Web Development,Medium,92.48,2.0,2587,89,2222
grok-1,https://github.com/xai-org/grok-1,1008,49488,8324,49488,102,215,,Grok open release,General,Small,48.45,9.0,2296,86,1120
big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,330,46175,2129,46175,105,3358,,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,Data Science,Small,94.43,1.0,63,1,17
bert,https://github.com/google-research/bert,317,38036,9587,38036,886,2184,"nlp, google, natural-language-processing, natural-language-understanding, tensorflow",TensorFlow code and pre-trained models for BERT,General,Small,51.35,8.0,5995,187,2852
nanoGPT,https://github.com/karpathy/nanoGPT,958,36770,5813,36770,269,660,,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",General,Small,84.27,1.0,1220,24,982
interview_internal_reference,https://github.com/0voice/interview_internal_reference,1160,36594,9438,36594,31,1957,"network, redis, storage, cpu, high-performance, interview, mongodb, mysql, nginx, zookeeper",2023å¹´æœ€æ–°æ€»ç»“ï¼Œé˜¿é‡Œï¼Œè…¾è®¯ï¼Œç™¾åº¦ï¼Œç¾å›¢ï¼Œå¤´æ¡ç­‰æŠ€æœ¯é¢è¯•é¢˜ç›®ï¼Œä»¥åŠç­”æ¡ˆï¼Œä¸“å®¶å‡ºé¢˜äººåˆ†ææ±‡æ€»ã€‚,General,Medium,,,0,0,0
wtfpython,https://github.com/satwikkansal/wtfpython,1250,35709,2652,35709,79,2607,"python, wats, snippets, wtf, gotchas, documentation, pitfalls, interview-questions, python-interview-questions",What the f*ck Python? ğŸ˜±,General,Medium,73.78,0.0,632,10,222
shadowsocks,https://github.com/shadowsocks/shadowsocks,891,33575,18611,33575,449,4563,,No description provided,General,Small,,,0,0,0
gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,2520,31401,3163,31401,236,429,"ai, codegen, developer-tools, gpt-4, coding-assistant, research-project",The first real AI developer,General,Large,72.48,0.0,16260,341,6627
ChatGPT,https://github.com/acheong08/ChatGPT,1935,28008,4481,28008,11,684,"chatgpt, cli, library, pypi-package, gptchat, revchatgpt, gpt-35-turbo",Reverse engineered ChatGPT API,General,Medium,67.44,0.0,2988,71,1385
llama3,https://github.com/meta-llama/llama3,570,26707,3025,26707,178,216,,The official Meta Llama 3 GitHub site,General,Small,80.45,1.0,1154,38,591
Depix,https://github.com/spipm/Depix,852,25925,3178,25925,10,1411,,Recovers passwords from pixelized screenshots,General,Small,67.09,2.0,975,29,413
ItChat,https://github.com/littlecodersh/ItChat,955,25522,5632,25522,290,3195,"itchat, wechat, api, robot",A complete and graceful API for Wechat. å¾®ä¿¡ä¸ªäººå·æ¥å£ã€å¾®ä¿¡æœºå™¨äººåŠå‘½ä»¤è¡Œå¾®ä¿¡ï¼Œä¸‰åè¡Œå³å¯è‡ªå®šä¹‰ä¸ªäººå·æœºå™¨äººã€‚,General,Small,66.52,0.0,2931,211,1697
wttr.in,https://github.com/chubin/wttr.in,1766,24586,1107,24586,320,3218,"weather-information, weather-api, curl, weather, weather-app, terminal, ascii-art",:partly_sunny: The right way to check the weather,General,Medium,68.23,6.0,6462,187,3125
algorithms,https://github.com/keon/algorithms,1468,23993,4602,23993,213,2891,"algorithm, python, competitive-programming, data-structure, algorithms, sort, search, tree, graph",Minimal examples of data structures and algorithms in Python,Data Science,Medium,78.11,1.0,24443,1411,10537
ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,553,23914,4582,23914,51,2812,"machine-learning, deep-learning, deep-reinforcement-learning, machine-learning-from-scratch, data-science, data-mining, genetic-algorithm",Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,Machine Learning/AI,Small,74.39,0.0,6904,391,3906
algo,https://github.com/wangzheng0822/algo,1173,22894,7073,22894,155,2216,,æ•°æ®ç»“æ„å’Œç®—æ³•å¿…çŸ¥å¿…ä¼šçš„50ä¸ªä»£ç å®ç°,General,Medium,67.74,0.0,5441,339,2774
NLP-progress,https://github.com/sebastianruder/NLP-progress,1399,22582,3615,22582,38,2309,"natural-language-processing, machine-learning, named-entity-recognition, machine-translation, nlp-tasks, dialogue","Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks.",Machine Learning/AI,Medium,42.43,13.0,480,13,178
proxy_pool,https://github.com/jhao104/proxy_pool,557,21468,5167,21468,294,2883,"crawler, proxy, spider, redis, http",Python ProxyPool for web spider,Web Development,Small,88.13,3.0,2489,161,1341
chatgpt-retrieval-plugin,https://github.com/openai/chatgpt-retrieval-plugin,1595,21049,3687,21049,241,575,"chatgpt, chatgpt-plugins",The ChatGPT Retrieval Plugin lets you easily find personal or work documents by asking questions in natural language.,General,Medium,63.97,0.0,9876,183,4157
audiocraft,https://github.com/facebookresearch/audiocraft,2137,20782,2118,20782,300,498,,"Audiocraft is a library for audio processing and generation with deep learning. It features the state-of-the-art EnCodec audio compressor / tokenizer, along with MusicGen, a simple and controllable music generation LM with textual and melodic conditioning.",General,Large,73.86,0.0,25015,1190,13840
babyagi,https://github.com/yoheinakajima/babyagi,2243,20205,2651,20205,8,564,,No description provided,General,Large,76.22,1.0,6153,266,2321
loguru,https://github.com/Delgan/loguru,2064,19745,695,19745,206,2620,"python, logging, logger, log",Python logging made (stupidly) simple,General,Large,63.43,1.0,17961,1313,10411
awesome-quant,https://github.com/wilsonfreitas/awesome-quant,2515,17913,2614,17913,11,3306,"finance, financial-data, stock-data, awesome, awesome-list, quantitative-finance, quant, quantitative-trading, yahoo-finance, finance-api, google-finance, trading-strategies, financial-instruments, trading-algorithms, algotrading, algorithmic-trading-engine, algorithmic-trading-library, technical-analysis, trading-bot, arbitrage-bot","A curated list of insanely awesome libraries, packages and resources for Quants (Quantitative Finance)",Data Science,Large,84.69,1.0,197,5,394
fauxpilot,https://github.com/fauxpilot/fauxpilot,3044,14576,621,14576,63,807,,FauxPilot - an open-source alternative to GitHub Copilot server,General,Large,81.22,2.0,1135,30,735
mackup,https://github.com/lra/mackup,2362,14563,930,14563,358,4212,,Keep your application settings in sync (OS X/Linux),General,Large,68.29,1.0,1967,84,616
